job_title,keywords,recommended_courses,skills,education_required,domain,tools,courses,
Finance Analyst,"accounting, budgeting, financial modeling, forecasting, excel",Financial Analyst Certification - https://www.coursera.org/specializations/financial-analysis; Excel for Financial Analysis - https://www.udemy.com/course/excel-for-financial-analysis; Introduction to Corporate Finance - https://www.edx.org/course/corporate-finance,"excel, accounting, finance, tally",B.Com; M.Com; MBA Finance,Finance,"Excel, Tally, SAP",Corporate Finance; Accounting,
Mechanical Engineer,"mechanical, thermodynamics, cad, solidworks, ansys, manufacturing, mechatronics, machines, robotics, brake system, tools, maintenance, production, compressor, gear, gyroscope, cooling",Mechanical Engineering Design - https://www.coursera.org/learn/mechanical-design; SolidWorks CAD - https://www.udemy.com/course/solidworks-course,"thermodynamics, cad, manufacturing, autocad, solidworks, mechanical design","""B.E Mechanical; M.E Mechanical; Diploma in Mechanical""",Mechanical Engineering,"AutoCAD, SolidWorks, ANSYS",Thermal Engineering; CAD; Manufacturing Technology,
Electrical Engineer,"circuit analysis, matlab, pspice, plc, power systems",Circuit Theory - https://www.edx.org/course/circuits-and-electronics; Electrical Power Systems - https://www.coursera.org/learn/electric-power-systems; PLC Programming - https://www.udemy.com/course/plc-programming,"python, java, git, sql",B.E Computer; B.Tech IT; BCA; BSc IT; MCA; MSc IT,IT / Software,"VSCode, GitHub, Jupyter",Data Structures; Algorithms; System Design,
Teacher,"lesson planning, pedagogy, classroom management, edtech",Instructional Design - https://www.coursera.org/learn/instructional-design; Online Teaching - https://www.edx.org/course/online-teaching; Educational Psychology - https://www.coursera.org/learn/educational-psychology,"basic communication, computer skills",Any relevant degree,General,s,General Skills,
Psychologist,"counseling, therapy, mental health, diagnosis, empathy",Introduction to Psychology - https://www.coursera.org/learn/introduction-psychology; Foundations of Positive Psychology - https://www.coursera.org/specializations/positive-psychology; Counseling Skills and Techniques - https://www.udemy.com/course/counselling-skills,"counseling, therapy, diagnosis",BA Psychology; MA Psychology,Psychology,"Case Notes, Clinical Tests",Counseling; Clinical Psychology,
Lawyer,"legal drafting, contracts, litigation, case law, ipc",Law for Non-Lawyers - https://www.edx.org/course/law-for-non-lawyers; Corporate & Commercial Law - https://www.coursera.org/specializations/corporate-commercial-law; Legal Research and Writing - https://www.udemy.com/course/legal-writing,"legal drafting, research, court procedures",LLB; LLM,Law,Legal DBs,Civil Law; Criminal Law,
Graphic Designer,"photoshop, illustrator, color theory, design principles",Graphic Design Specialization - https://www.coursera.org/specializations/graphic-design; Photoshop Masterclass - https://www.udemy.com/course/photoshop-cc-masterclass; Canva Graphic Design Mastery - https://www.skillshare.com/classes/Canva,"photoshop, illustrator, figma",B.Des; BFA; Any Design Degree,Design,"Adobe Suite, Figma",UI/UX; Visual Design,
Photographer,"dslr, lighting, photo editing, composition",Photography Basics and Beyond - https://www.coursera.org/specializations/photography; Complete Photography Masterclass - https://www.udemy.com/course/photography-masterclass; Digital Photography for Beginners - https://www.edx.org/course/digital-photography,"dslr, editing, composition",Diploma in Photography,Photography,"Lightroom, Photoshop",Photo Editing; Studio Lighting,
Content Writer,"seo writing, grammar, storytelling, editing",Writing for the Web - https://www.open.edu/openlearn/ocw/mod/oucontent/view.php?id=87109; SEO Content Writing - https://www.udemy.com/course/seo-content-writing-course; Creative Writing Specialization - https://www.coursera.org/specializations/creative-writing,"writing, grammar, editing",BA English; Journalism; Any Bachelor's,Content Creation,"MS Word, Grammarly",Creative Writing; Content Strategy,
Fashion Designer,"illustration, stitching, draping, textile design",Fashion as Design - https://www.coursera.org/learn/fashion-design; Fashion Illustration and Design - https://www.udemy.com/course/fashion-design-illustration; History of Fashion - https://www.futurelearn.com/courses/fashion-and-sustainability,"photoshop, illustrator, figma",B.Des; BFA; Any Design Degree,Design,"Adobe Suite, Figma",UI/UX; Visual Design,
Data Entry Operator,"typing, ms excel, accuracy, spreadsheets",Typing Mastery - https://www.udemy.com/course/typing-master; Microsoft Excel Essentials - https://www.coursera.org/learn/excel-essentials; Basics of Computer Operation - https://www.edx.org/course/digital-literacy,"python, pandas, sklearn, sql",B.E Computer; B.Tech IT; BSc IT; MSc Data Science; MCA,Data Science,"Jupyter, scikit-learn, Tableau",Machine Learning; Data Analytics,
Customer Support,"crm, communication, empathy, ticketing systems",Customer Service Fundamentals - https://www.coursera.org/learn/customer-service; Call Center Training - https://www.udemy.com/course/call-center-training; Effective Communication Skills - https://www.linkedin.com/learning/communication-foundations,"communication, problem-solving",Any Bachelor's,Customer Service,"CRM, Chat Tools",Customer Service Skills,
Electrician,"wiring, load calculation, switchboard, safety",Electrical Wiring - https://www.udemy.com/course/electrical-wiring; Basic Electrical Engineering - https://www.coursera.org/learn/basic-electrical; Solar Energy Basics - https://www.edx.org/course/solar-energy,"plc, simulink, pspice",B.E Electrical; Diploma Electrical,Electrical Engineering,"MATLAB, Simulink",Power Systems; Circuit Design,
Plumber,"pipes, fittings, water systems, drainage, tools",Plumbing 101 - https://www.udemy.com/course/plumbing-101; Home Plumbing Basics - https://www.skillshare.com/classes/Home-Plumbing; Pipefitting and Plumbing Safety - https://www.oshaeducationcenter.com,"pipe repair, leakage, tools",ITI Plumbing,Maintenance,"Wrenches, Plumber Kit",Plumbing Basics; Pipe Systems,
Research Scientist,"organic chemistry, analytical chemistry, nmr, ir, gc-ms, hplc, chromatography, synthesis, research, laboratory, experiments, data analysis, radiopharmaceuticals, purification, spectroscopy, molecular biology, biochemistry, pharmaceutical, materials science, nanotechnology, catalysis, polymer chemistry, medicinal chemistry, drug discovery, chemical engineering, spectroscopy, mass spectrometry, x-ray crystallography, nuclear magnetic resonance, infrared spectroscopy, ultraviolet spectroscopy, fluorescence spectroscopy, atomic absorption spectroscopy, inductively coupled plasma, gas chromatography, liquid chromatography, thin layer chromatography, column chromatography, ion exchange chromatography, affinity chromatography, size exclusion chromatography, high performance liquid chromatography, ultra high performance liquid chromatography, gas chromatography-mass spectrometry, liquid chromatography-mass spectrometry, nuclear magnetic resonance spectroscopy, fourier transform infrared spectroscopy, raman spectroscopy, ultraviolet-visible spectroscopy, fluorescence spectroscopy, atomic absorption spectroscopy, inductively coupled plasma mass spectrometry, inductively coupled plasma optical emission spectrometry, x-ray diffraction, scanning electron microscopy, transmission electron microscopy, atomic force microscopy, scanning tunneling microscopy, confocal microscopy, fluorescence microscopy, phase contrast microscopy, differential interference contrast microscopy, bright field microscopy, dark field microscopy, polarized light microscopy, electron microscopy, atomic force microscopy, scanning tunneling microscopy, confocal microscopy, fluorescence microscopy, phase contrast microscopy, differential interference contrast microscopy, bright field microscopy, dark field microscopy, polarized light microscopy",Introduction to Chemistry - https://www.coursera.org/learn/chemistry; Organic Chemistry - https://www.edx.org/course/organic-chemistry; Analytical Chemistry - https://www.coursera.org/learn/analytical-chemistry; Spectroscopy and Structure Determination - https://www.udemy.com/course/spectroscopy; Research Methods in Chemistry - https://www.coursera.org/learn/research-methods,"python, java, git, sql",B.E Computer; B.Tech IT; BCA; BSc IT; MCA; MSc IT,IT / Software,"VSCode, GitHub, Jupyter",Data Structures; Algorithms; System Design,
Data Scientist,"python, pandas, numpy, matplotlib, seaborn, scikit-learn, tensorflow, pytorch, deep learning, regression, classification, clustering, flask, streamlit",Data Science with Python - https://www.coursera.org/specializations/data-science-python,"python, java, git, sql",B.E Computer; B.Tech IT; BCA; BSc IT; MCA; MSc IT,IT / Software,"VSCode, GitHub, Jupyter",Data Structures; Algorithms; System Design,
AI/ML Engineer,"artificial intelligence, machine learning, deep learning, python, tensorflow, pytorch, flask, streamlit, pandas, numpy, scikit-learn, computer vision, opencv, keras",Deep Learning Specialization - https://www.coursera.org/specializations/deep-learning,"python, java, git, sql",B.E Computer; B.Tech IT; BCA; BSc IT; MCA; MSc IT,IT / Software,"VSCode, GitHub, Jupyter",Data Structures; Algorithms; System Design,
Full Stack Developer,"html, css, javascript, node.js, express.js, react, angular, mysql, mongodb, git, frontend, backend, full stack",Full-Stack Web Development with React - https://www.coursera.org/specializations/full-stack-react,"python, java, git, sql",B.E Computer; B.Tech IT; BCA; BSc IT; MCA; MSc IT,IT / Software,"VSCode, GitHub, Jupyter",Data Structures; Algorithms; System Design,ss
IoT Engineer,"iot, sensors, embedded systems, arduino, raspberry pi, data encryption, actuator control, mqtt, esp32, microcontroller",Internet of Things (IoT) - https://www.coursera.org/specializations/iot,"python, java, git, sql",B.E Computer; B.Tech IT; BCA; BSc IT; MCA; MSc IT,IT / Software,"VSCode, GitHub, Jupyter",Data Structures; Algorithms; System Design,
Software Developer,"manual testing, test cases, test plan, defect tracking, bug reporting, test execution",Software Development Lifecycle - https://www.udemy.com/course/software-development-lifecycle/,"python, java, git, sql",B.E Computer; B.Tech IT; BCA; BSc IT; MCA; MSc IT,IT / Software,"VSCode, GitHub, Jupyter",Data Structures; Algorithms; System Design,
Content Writer,"writing, editing, content creation, storytelling, grammar, blogging, seo, digital content, proofreading, journalism",Content Writing Mastery - https://www.udemy.com/course/content-writing-mastery,,,,,,
Chef,"cooking, culinary, kitchen, food safety, recipes, plating, baking, catering, hospitality, nutrition",Essential Culinary Skills - https://www.coursera.org/learn/culinary,"writing, grammar, editing",BA English; Journalism; Any Bachelor's,Content Creation,"MS Word, Grammarly",Creative Writing; Content Strategy,
Supply Chain Analyst,"supply chain, logistics, procurement, vendor management, inventory control, nabl, crm, stock, sourcing, cost saving, operations, distribution",Supply Chain Analytics - https://www.coursera.org/learn/supply-chain-analytics,"cooking, plating, hygiene",Diploma in Hotel Management,Culinary,Kitchen Tools,Culinary Arts; Food Safety,
Flutter Developer,"flutter, dart, firebase, cross-platform, android, ios",flutter, dart, firebase,B.Sc IT; BCA; MCA,Mobile Development,Firebase Essentials; Flutter App Dev with Dart,
Supply Chain Analyst,"logistics, procurement, inventory, scm, supply chain, operations, vendor, sourcing",Supply Chain Fundamentals - https://www.coursera.org/learn/supply-chain-management,"supply chain, logistics, excel, sap, procurement, vendor management",BBA; MBA Operations; B.E Industrial; PGDM SCM,Operations / Logistics,"SAP, Oracle SCM, Excel, Tableau",Supply Chain; Procurement; Vendor Management,
Business Analyst,"requirement gathering, data analysis, stakeholder, user stories, BRD, FRD",Business Analysis & Process Management - https://www.coursera.org/learn/uva-darden-business-analysis,"excel, sql, documentation, jira, analysis, presentation",BBA; MBA; B.E; PGDM,Business Strategy,"Excel, PowerPoint, Jira, Tableau",Business Analysis; SQL; Documentation,
Digital Marketer,"seo, sem, social media, content, email campaigns, google ads, analytics",Digital Marketing Specialization - https://www.coursera.org/specializations/digital-marketing,"seo, google analytics, facebook ads, email marketing",BBA Marketing; MBA Marketing; B.Com; BA Communication,Marketing,"Google Analytics, HubSpot, Canva",SEO; SEM; Email Campaigns,
HR Generalist,"recruitment, employee engagement, onboarding, payroll, HRMS, grievance",HR Management and Analytics - https://www.coursera.org/learn/hr-management-analytics,"recruitment, payroll, compliance, onboarding",BBA HR; MBA HR; PGDM HR,Human Resources,"Zoho People, Excel, SAP HR",Recruitment; Payroll; HR Compliance,
Financial Analyst,"forecasting, valuation, budgeting, ratio analysis, investment, cash flow",Financial Markets by Yale - https://www.coursera.org/learn/financial-markets-global,"excel, accounting, financial modeling, valuation",B.Com; BBA Finance; MBA Finance; CA,Finance,"Excel, Tally, SAP, QuickBooks",Financial Modeling; Ratio Analysis,
UX Designer,"wireframe, user research, figma, prototype, usability, design thinking",Google UX Design - https://www.coursera.org/professional-certificates/google-ux-design,"figma, user research, wireframing, usability testing",B.Des; BFA; Any Design Degree,Design / Creative,"Figma, Adobe XD, Sketch",UX Research; Design Thinking; Wireframes,
Content Writer,"writing, blogs, copywriting, grammar, proofreading, editing, content creation",Content Marketing - https://www.coursera.org/learn/content-marketing,"writing, editing, seo, proofreading",BA English; Journalism; BMM,Content / Communication,"MS Word, Grammarly, WordPress",Copywriting; SEO Writing; Blogging,
Operations Manager,"operations, kpi, efficiency, supply chain, logistics, planning",Operations Management - https://www.coursera.org/learn/wharton-operations,"operations, planning, scm, vendor management",MBA Operations; B.E Industrial,Operations,"SAP, ERP, Excel",Operations Planning; Process Optimization,
Product Manager,"roadmap, product lifecycle, stakeholder, agile, backlog, features",Digital Product Management - https://www.coursera.org/learn/uva-darden-digital-product-management,"agile, roadmap, backlog, stakeholder communication",B.E; MBA; PGDM,Product Management,"Jira, Trello, Confluence, Figma",Agile; Product Lifecycle; User Stories,
Software Tester,"manual testing, test cases, test plan, defect tracking, bug reporting, test execution, regression, jira, testng, selenium",Manual Software Testing - https://www.udemy.com/course/manual-software-testing/,"manual testing, test cases, jira, testng, selenium, regression testing",BSc Computer Science; B.E IT; B.Tech IT; MCA,IT / Software Testing,"JIRA, TestRail, Postman, Selenium",Manual QA; Defect Lifecycle; Test Documentation,
Quality Assurance Engineer,"quality assurance, software testing, bug tracking, selenium, test automation, qa strategy, defect lifecycle",QA Manual & Automation - https://www.udemy.com/course/qa-manual-and-automation/,"qa, selenium, jira, testng, defect tracking, automation basics",BSc CS; B.E IT; MCA,IT / QA,"Selenium, JIRA, TestNG",QA Strategy; Automation Basics,
Product Manager,"roadmap, product lifecycle, stakeholder, agile, backlog, features",Digital Product Management - https://www.coursera.org/learn/uva-darden-digital-product-management,"agile, roadmap, backlog, stakeholder communication",B.E; MBA; PGDM,Product Management,"Jira, Trello, Confluence, Figma",Agile; Product Lifecycle; User Stories,
Cybersecurity Analyst,"vapt, penetration testing, kali linux, network security, ports, bugs, scans",,"Cybersecurity Bootcamp,penetration testing, kali linux, networking, open ports",B.E IT; B.Tech CS; BSc Cybersecurity,,IT / Security,"Kali Linux, Wireshark"",""Penetration Testing; Network Security",
Python Developer,"python, flask, mysql, api, backend, scripting",Python Backend Dev,"python, flask, mysql, api, automation",B.E IT; B.Tech CS; BCA; MCA,Software Development,"Flask, Postman, MySQL",Flask API; Python Scripting,
Pharmacist,"pharmacy, medication, dispensing, prescription, clinical pharmacy, patient counseling, healthcare, drug, hospital, inventory management, pharmacy law, pharmacy management, pharmacy research, pharmacy education, pharmaceutical",Diploma in Pharmacy; B.Pharm; Pharmacy Technician Training - https://www.coursera.org/learn/pharmacy,"pharmacy, prescription, dosage, pharmacology, patient care, inventory management, drug dispensing, pharmacy law, clinical pharmacy, patient counseling",Diploma in Pharmacy; B.Pharm; D.Pharm,Healthcare,"EMR, Meditech, PharmaPOS",,
Pharma Sales,"pharmaceutical sales, product promotion, client meetings, communication, persuasion, pharma sales rep, CRM, pharmaceutical, drug, client handling",Pharma Sales Training – Udemy,"sales, pharma knowledge, client handling, CRM",B.Pharm; BBA; MBA Marketing,Healthcare Sales,"CRM Software, MS Excel, Pharma ERP",,
Clinical Pharmacy,"clinical pharmacy, patient consultation, drug monitoring, prescription validation, clinical trials, patient education, pharmacovigilance, medication safety, hospital, healthcare",Clinical Pharmacy Practice – Coursera,"clinical consultation, prescription review, patient education, pharmacovigilance, medication safety",B.Pharm; M.Pharm,Clinical Pharmacy,"Meditech, EMR, PharmaPOS",,
Pharmacology,"pharmacology, drug action, toxicology, pharmacokinetics, pharmacodynamics, drug design, dosage, clinical trials, research",Intro to Pharmacology – edX,"pharmacology, drug interaction, clinical trials, dosage forms",B.Pharm; M.Pharm; BSc Biology,Healthcare,"Lab Instruments, Clinical Trial Software",,
Healthcare,"patient care, hospital management, health systems, EMR, clinical documentation, diagnosis, insurance, healthcare administration, medical records",Healthcare Marketplace – Coursera,"healthcare management, communication, EMR handling, patient data management",B.Pharm; BSc Nursing; MBBS; BPT,Healthcare,"EMR, Meditech, Hospital Systems",,
Doctor,"clinical diagnosis, patient care, medical ethics, pathology, hospital, healthcare, patient management, treatment",Medical Neuroscience - https://www.coursera.org/learn/medical-neuroscience; Anatomy Specialization - https://www.coursera.org/specializations/anatomy; Clinical Skills - https://www.futurelearn.com/courses/clinical-skills,"patient care, diagnosis, medical terms, clinical diagnosis, treatment",MBBS; BSc Nursing; B.Pharm; M.Pharm,Healthcare,"EMR, Hospital Systems",,
Nurse,"first aid, icu, patient monitoring, injection, hygiene, patient care, healthcare, medical terms, hospital",Nursing Informatics - https://www.coursera.org/learn/nursing-informatics; Essentials of Palliative Care - https://www.edx.org/course/palliative-care; Advanced Cardiac Life Support - https://www.udemy.com/course/acls-certification-course,"patient care, diagnosis, medical terms, icu, first aid, hygiene",MBBS; BSc Nursing; B.Pharm; M.Pharm,Healthcare,"EMR, Hospital Systems",,
Medical Coder,"medical coding, icd-10, cpt, hcpcs, claim, healthcare compliance, documentation, medical records",Medical Coding Basics – Coursera,"icd-10, cpt, hcpcs, claim, documentation",B.Pharm; BSc Life Sciences; BPT; BHMS,Healthcare,"Cerner, Meditech, Epic",,
