skill,synonyms
pharmacy pain management,pharmacypainmanagement
pharmacy pharmacokinetics,pharmacypharmacokinetics
pharmacy pharmacodynamics,pharmacypharmacodynamics
pharmacy pharmacogenomics,pharmacypharmacogenomics
pharmacy pharmacoeconomics,pharmacypharmacoeconomics
pharmacy pharmacovigilance,pharmacypharmacovigilance
pharmacy clinical trials,pharmacyclinicaltrials
graphic design,graphic designer;graphics design
photo editing,photoedit;image editing
composition,composing
dslr,ds lr
studio lighting,studio light
storytelling,story telling
grammar,grammer
proofreading,proof reading
blogging,blogger;blog
content creation,content creator
copywriting,copy writer
fashion design,fashion designing
illustration,illustrator
stitching,stitch
draping,drape
textile design,textile designing
typing,typing speed
spreadsheets,spreadsheet
customer support,customer service
ticketing systems,ticketing;ticket system
problem-solving,problem solving
wiring,wire
switchboard,switch board
plumbing,plumber;plumbing work
pipe repair,pipe repairing
maintenance,maintain
research,researcher
experiments,experiment
laboratory,lab
chromatography,chromatograph
spectroscopy,spectroscope
synthesis,synthesize
data scientist,data science
full stack,fullstack
frontend,front end
backend,back end
iot,internet of things
sensors,sensor
embedded systems,embedded system
arduino,arduino board
raspberry pi,raspberrypi
actuator,actuator control
esp32,esp 32
microcontroller,micro controller
software development,software dev
manual testing,manualtest
test cases,test case
defect tracking,defecttrack
bug reporting,bugreport
test execution,testexecute
jira,jira software;jira tool
selenium,selenium webdriver
testng,testing ng
regression,regression test
qa,quality assurance
automation,automation testing
trello,trello app
confluence,confluence app
epic,epic software
icd-10,icd10
cpt,cpt code
hcpcs,hcpcs code
penetration testing,pen testing;pentest
kali linux,kali
network security,networksecurity
open ports,openports
python scripting,python script
flask api,flask rest;flask restful
supply chain,supplychain
logistics,logistic
procurement,procure
vendor management,vendor manage
operations,operation
planning,plan
erp,enterprise resource planning
product management,product manager
roadmap,road map
agile,agile methodology
user stories,user story
stakeholder,stake holder
backlog,back log
features,feature
test documentation,test docs
test strategy,teststrategy
test automation,testautomation
medical coding,medical code
claim,claims
healthcare compliance,health compliance
sap,sap erp
oracle,oracle erp
tableau,tableau software
powerpoint,ms powerpoint;power point
ms word,microsoft word
excel,ms excel;msexcel
canva,canva app
zoho,zoho people
